id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0039734	6.227534054	12.83479237	11.22326805	10.6550329
FBgn0039735	641.7056985	461.3458215	139.1766656	119.2511892
FBgn0039736	0.087928527	0	0.038825357	0
FBgn0039737	253.4910783	403.7333433	293.6957155	267.8390394
FBgn0039738	20.85686384	42.62717614	20.10845706	16.37402424
FBgn0039739	65.164186	20.39960853	23.44551253	27.93438549
FBgn0039740	12.91036076	23.33027576	9.630301185	7.427576874
FBgn0039741	2.877353866	4.867651938	3.571227305	3.117896687
FBgn0039742	0	0.454134723	0.456445569	0.929327083
FBgn0039743	16.21172907	42.85238376	37.28260968	32.85547099
FBgn0039744	50.66646914	10.00670376	37.50003357	39.13108999
FBgn0039747	0	2.290050988	0.670160153	0.789558422
FBgn0039748	0	0.997054809	0.403826789	0.442731009
FBgn0039749	1.771146296	1.041461083	0.154974995	0.103614325
FBgn0039751	3.116159122	12.46192257	6.340496396	5.741636541
FBgn0039752	167.3196707	379.1010684	236.8211767	232.3653725
FBgn0039754	9.221948251	5.804665488	1.099259321	1.258249369
FBgn0039755	3.412934155	2.13171739	0.135800732	0.180887497
FBgn0039756	9.83898398	12.86090155	4.524706917	4.161912336
FBgn0039757	2375.419603	901.1827491	289.7238744	243.1448926
FBgn0039758	5.430897334	2.942846266	1.879085063	1.229027907
FBgn0039759	0	0	0.570100371	0.595194116
FBgn0039760	15.54292386	36.42059363	44.35657226	45.62396947
FBgn0039761	26.83700908	5.011884538	0	0
FBgn0039764	37.80001632	61.33099124	16.26079405	12.54544925
FBgn0039765	120.4947288	105.3806792	31.36756435	32.16851519
FBgn0039766	110.9772054	138.7353304	42.27717188	42.30180443
FBgn0039767	15.91280493	29.15329237	26.5277265	28.18945142
FBgn0039768	10.64716957	3.375775302	0.0960508	0.028327331
FBgn0039769	14.6554115	6.335745252	0.067013907	0.029738192
FBgn0039770	0	0	0	0
FBgn0039771	0	0	0	0.105905878
FBgn0039773	116.3520306	207.0307591	67.00153373	69.52621586
FBgn0039774	3.208425174	2.854413016	2.972466341	2.388983711
FBgn0039776	2.92258976	8.284661899	2.719142992	1.844777495
FBgn0039777	239.2139151	104.5393355	0	0
FBgn0039778	37.95591393	14.48482381	0	0
FBgn0039779	0	0	0	0
FBgn0039780	0	0.170597575	0.083051608	0.073200114
FBgn0039782	3.637115218	2.835401176	0.174872353	0.052411473
FBgn0039783	2.708726626	6.518648499	0	0
FBgn0039784	0.196120965	0.15962345	0	0
FBgn0039787	3.079707898	6.007389321	0.036911468	0.065420206
FBgn0039788	28.98258298	91.86658508	179.4910135	185.4170874
FBgn0039789	0.127382149	0.103536628	0.221248191	0.146099807
